Department,Link to Courses
Nursing,https://registrar.ucla.edu/academics/course-descriptions?search=Nursing
Obstetrics and Gynecology,https://registrar.ucla.edu/academics/course-descriptions?search=Obstetrics+and+Gynecology
Ophthalmology,https://registrar.ucla.edu/academics/course-descriptions?search=Ophthalmology
Oral Biology,https://registrar.ucla.edu/academics/course-descriptions?search=Oral+Biology
Orthopaedic Surgery,https://registrar.ucla.edu/academics/course-descriptions?search=Orthopaedic+Surgery
Pathology and Laboratory Medicine,https://registrar.ucla.edu/academics/course-descriptions?search=Pathology+and+Laboratory+Medicine
Pediatrics,https://registrar.ucla.edu/academics/course-descriptions?search=Pediatrics
Philosophy,https://registrar.ucla.edu/academics/course-descriptions?search=Philosophy
Physics,https://registrar.ucla.edu/academics/course-descriptions?search=Physics
Physics and Biology in Medicine,https://registrar.ucla.edu/academics/course-descriptions?search=Physics+and+Biology+in+Medicine
Physiological Science,https://registrar.ucla.edu/academics/course-descriptions?search=Physiological+Science
Physiology,https://registrar.ucla.edu/academics/course-descriptions?search=Physiology
Polish,https://registrar.ucla.edu/academics/course-descriptions?search=Polish
Political Science,https://registrar.ucla.edu/academics/course-descriptions?search=Political+Science
Portuguese,https://registrar.ucla.edu/academics/course-descriptions?search=Portuguese
Program in Computing,https://registrar.ucla.edu/academics/course-descriptions?search=Program+in+Computing
Psychiatry and Biobehavioral Sciences,https://registrar.ucla.edu/academics/course-descriptions?search=Psychiatry+and+Biobehavioral+Sciences
Psychology,https://registrar.ucla.edu/academics/course-descriptions?search=Psychology
Public Affairs,https://registrar.ucla.edu/academics/course-descriptions?search=Public+Affairs
Public Health,https://registrar.ucla.edu/academics/course-descriptions?search=Public+Health
Public Policy,https://registrar.ucla.edu/academics/course-descriptions?search=Public+Policy
Quantum Science and Technology,https://registrar.ucla.edu/academics/course-descriptions?search=Quantum+Science+and+Technology
Radiation Oncology,https://registrar.ucla.edu/academics/course-descriptions?search=Radiation+Oncology
"Religion, Study of",https://registrar.ucla.edu/academics/course-descriptions?search=Religion%2C+Study+of
Research Practice,https://registrar.ucla.edu/academics/course-descriptions?search=Research+Practice
Romanian,https://registrar.ucla.edu/academics/course-descriptions?search=Romanian
Russian,https://registrar.ucla.edu/academics/course-descriptions?search=Russian
Scandinavian,https://registrar.ucla.edu/academics/course-descriptions?search=Scandinavian
Science Education,https://registrar.ucla.edu/academics/course-descriptions?search=Science+Education
Semitic,https://registrar.ucla.edu/academics/course-descriptions?search=Semitic
Serbian/Croatian,https://registrar.ucla.edu/academics/course-descriptions?search=Serbian%2FCroatian
Slavic,https://registrar.ucla.edu/academics/course-descriptions?search=Slavic
Social Science,https://registrar.ucla.edu/academics/course-descriptions?search=Social+Science
Social Thought,https://registrar.ucla.edu/academics/course-descriptions?search=Social+Thought
Social Welfare,https://registrar.ucla.edu/academics/course-descriptions?search=Social+Welfare
Society and Genetics,https://registrar.ucla.edu/academics/course-descriptions?search=Society+and+Genetics
Sociology,https://registrar.ucla.edu/academics/course-descriptions?search=Sociology
South Asian,https://registrar.ucla.edu/academics/course-descriptions?search=South+Asian
Southeast Asian,https://registrar.ucla.edu/academics/course-descriptions?search=Southeast+Asian
Spanish,https://registrar.ucla.edu/academics/course-descriptions?search=Spanish
Statistics,https://registrar.ucla.edu/academics/course-descriptions?search=Statistics
Surgery,https://registrar.ucla.edu/academics/course-descriptions?search=Surgery
